pub_id,title,year_pub,date_pub,pubmed_id_present,doi_present,url_present,cite_total,cite_recent,cite_updated
20260,Hiding in plain sight: uncovering the genetic basis of complex phenotypes through low-risk groups,2026,2026-07-16,True,True,True,-1,-1,1999-01-01
20261,Risk of epilepsy in people with adult-onset hydrocephalus: insights from the UK Biobank,2026,2026-07-16,True,True,True,-1,-1,1999-01-01
20262,Adherence to the Eatwell Guide and associations with markers of physical function: a prospective analysis within the UK Biobank cohort,2026,2026-07-16,True,True,True,-1,-1,1999-01-01
20263,Evidence of immune-metabolic imbalance prior to sepsis: a prospective study in the UK Biobank,2026,2026-07-16,True,True,True,-1,-1,1999-01-01
20264,Identification of a robust multitarget protein panel for Parkinson's disease via absolute quantification and large-scale external replication,2026,2026-07-16,True,True,True,-1,-1,1999-01-01
20265,Novel associations of Claudin gene variants with kidney stone disease,2026,2026-07-16,True,True,True,-1,-1,1999-01-01
20266,Cryptogenic steatotic liver disease: a lean phenotype associated with increased liver-related mortality,2026,2026-07-16,True,True,True,-1,-1,1999-01-01
20267,Biological age acceleration and bradyarrhythmia: evidence from clinical and epigenetic perspectives,2026,2026-07-16,True,True,True,-1,-1,1999-01-01
20268,"Investigating relationships between loneliness, social isolation and health",2026,2026-07-15,True,True,True,-1,-1,1999-01-01
20269,Identifying sex-specific genetic effects across 733 traits in UK biobank,2026,2026-07-15,True,True,True,-1,-1,1999-01-01
20270,"Association between dietary inflammatory index, empirical dietary inflammatory patterns and the risk of Long COVID: a prospective cohort study",2026,2026-07-15,True,True,True,-1,-1,1999-01-01
20271,Age-related changes in adiposity and cardiometabolic disease risk: a longitudinal and prospective study in the UK Biobank,2026,2026-07-15,True,True,True,-1,-1,1999-01-01
20272,A modified frailty index to identify high-risk groups for amyotrophic lateral sclerosis,2026,2026-07-15,True,True,True,-1,-1,1999-01-01
20273,A generalized test of genotype-phenotype causality in population-sampled nuclear families.,2026,2026-07-15,True,True,True,-1,-1,1999-01-01
20274,Discrepancies between instant and filtered coffee in biological aging: evidence from the UK Biobank,2026,2026-07-15,True,True,True,-1,-1,1999-01-01
20275,Urate-lowering effects of losartan: a meta-analysis of randomised controlled trials and target trial emulation,2026,2026-07-15,True,True,True,-1,-1,1999-01-01
20276,"Physical activity, genetic predisposition and the risk of rheumatoid arthritis: a prospective cohort study",2026,2026-07-15,True,True,True,-1,-1,1999-01-01
20277,Metabolic syndrome is associated with accelerated brain aging,2026,2026-07-14,True,True,True,-1,-1,1999-01-01
20278,Impact of preventive treatment on healthcare use: a modelling study of statin treatment,2026,2026-07-14,True,True,True,-1,-1,1999-01-01
20279,Proteomic signatures of ambient air pollution and risk of type 2 diabetes,2026,2026-07-14,True,True,True,-1,-1,1999-01-01
20280,Sex-stratified insights into the genetics of brain volumes in late adulthood,2026,2026-07-14,True,True,True,-1,-1,1999-01-01
20281,Dietary magnesium and mortality risk associated with smoking and cadmium: evidence from two national population-based studies,2026,2026-07-14,True,True,True,-1,-1,1999-01-01
20282,Long-Term Cardiovascular Risks of Anticholinergic Versus Non-Anticholinergic Antidepressants: A Target Trial Emulation With Negative Control Correction,2026,2026-07-14,True,True,True,-1,-1,1999-01-01
20283,MetaboHealth and Metabolic Vulnerability Index as Risk Factors for Cardio-Renal-Metabolic Multimorbidity: A Large-Scale Prospective Cohort Study,2026,2026-07-14,True,True,True,-1,-1,1999-01-01
20284,A large cohort analysis of metabolic signatures underlying the liver-eye axis,2026,2026-07-14,True,True,True,-1,-1,1999-01-01
